metric,NL_mean,IT_mean,direction,pct_change,p_value,consistency,sig,tissue,NL_IA_p,pattern
B_c01-IGHD,0.4844270007406915,1.5231338859245835,↑,214.41969246051596,0.1908412729609592,21/30, ,Liver,0.6321424221485425,NS
B_c02-STX16,0.44719407479505396,0.9429141057048034,↑,110.8512073056725,0.2621926024067731,20/30, ,Liver,0.7739376469563976,NS
B_c03-CD1C,0.22648665979930005,1.3856469112283065,↑,511.80067402477044,0.10360419498787639,22/30, ,Liver,0.019497342254316867,IA-emergent
B_c04-COCH,1.3123086534773882,7.057047689605829,↑,437.7582225725547,0.013497246674934248,29/30,★,Liver,0.022173545386486773,Chronic-persistent
B_c05-TCL1A,23.207863534846737,12.796949820205635,↓,-44.859423182185886,0.6623376623376623,18/30, ,Liver,0.7922077922077921,NS
B_c06-CD70,17.2700881829037,15.220981602376952,↓,-11.865061479855289,0.7922077922077921,17/30, ,Liver,0.32900432900432897,NS
B_c07-FCRL5,12.965207239136937,28.224801210847716,↑,117.69649100284319,0.05194805194805195,26/30,†,Liver,0.17748917748917747,NS
plasmaB_c01-SDC1,32.4529214758493,25.995825019080836,↓,-19.89681102076953,0.9307359307359306,16/30, ,Liver,0.17748917748917747,NS
plasmaB_c02-CD52,3.4410773106079975,5.449445988980872,↑,58.36453229869514,0.32900432900432897,21/30, ,Liver,0.5367965367965368,NS
plasmaB_c03-MKI67,8.192425867842891,1.4032537660444635,↓,-82.8713278742924,0.08225108225108226,25/30,†,Liver,0.08225108225108226,NS
B_c01-IGHD,28.010287272503756,33.237349214993955,↑,18.661222184684032,0.6904761904761905,15/25, ,Blood,1.0,NS
B_c02-STX16,7.819753826295409,7.205286341890146,↓,-7.857887831954505,1.0,13/25, ,Blood,0.9047619047619049,NS
B_c03-CD1C,20.24442861214021,33.29942697303036,↑,64.4868699977104,0.2222222222222222,19/25, ,Blood,0.9047619047619049,NS
B_c04-COCH,21.815196776915382,19.93717529510656,↓,-8.60877626277534,0.5476190476190477,16/25, ,Blood,0.4126984126984127,NS
B_c05-TCL1A,1.7680618186288481,0.32059670958838393,↓,-81.8673359601753,0.1732171126447002,20/25, ,Blood,0.6227532504241038,NS
B_c06-CD70,2.3588027145882577,0.3597867786456374,↓,-84.7470593271536,0.15079365079365079,20/25, ,Blood,0.7301587301587302,NS
B_c07-FCRL5,0.9458166395654871,0.40055166454333896,↓,-57.65017786879342,0.8325188126792755,15/25, ,Blood,0.9021165931072543,NS
plasmaB_c01-SDC1,2.2158215010141986,0.08162360688956434,↓,-96.31632751770823,0.5038124288130608,19/25, ,Blood,1.0,NS
plasmaB_c02-CD52,7.922853279242732,4.540689700690169,↓,-42.688706446370425,1.0,13/25, ,Blood,0.7301587301587302,NS
plasmaB_c03-MKI67,6.898977559105717,0.6175137146218797,↓,-91.04919954686844,0.2222222222222222,19/25, ,Blood,0.19047619047619047,NS
