Stage,tissue,BCR_CType,count
AR,Blood,IGHA,96
AR,Blood,IGHD,16
AR,Blood,IGHG,129
AR,Blood,IGHM,306
AR,Liver,IGHA,15
AR,Liver,IGHD,1
AR,Liver,IGHG,13
AR,Liver,IGHM,30
IA,Blood,IGHA,438
IA,Blood,IGHD,94
IA,Blood,IGHG,768
IA,Blood,IGHM,2498
IA,Liver,IGHA,223
IA,Liver,IGHD,57
IA,Liver,IGHG,309
IA,Liver,IGHM,799
IT,Blood,IGHA,412
IT,Blood,IGHD,66
IT,Blood,IGHG,626
IT,Blood,IGHM,2265
IT,Liver,IGHA,89
IT,Liver,IGHD,20
IT,Liver,IGHG,209
IT,Liver,IGHM,291
NL,Blood,IGHA,162
NL,Blood,IGHD,355
NL,Blood,IGHG,136
NL,Blood,IGHM,1164
NL,Liver,IGHA,174
NL,Liver,IGHD,108
NL,Liver,IGHG,450
NL,Liver,IGHM,429
