tissue,type,metric,pattern,NL_mean,IT_mean,IA_mean,NL_IT_p,IT_IA_p,NL_IA_p,NL_IT_cons,IT_IA_cons
Liver,BCR,clonality,NS,0.5051066818079208,0.5334479483925971,0.4381480701793647,0.46419164680396885,0.15079365079365079,0.5367965367965368,19/30,20/25
Liver,BCR,pct_singleton,NS,1.3548939357461949,0.9469544980338658,2.1796003531016774,0.46419164680396885,0.15079365079365079,0.42857142857142855,20/30,20/25
Liver,BCR,pct_IgM,NS,45.90625449283649,44.3909920202381,56.82029339669572,0.9307359307359306,0.15079365079365079,0.6623376623376623,16/30,20/25
Liver,BCR,pct_IgG,NS,30.56097215730914,35.87756767283569,24.866056287719726,0.3142001092738079,0.15079365079365079,0.9270990616387901,21/30,20/25
Liver,BCR,pct_IgA,NS,13.392485523846121,16.735169261018804,14.01569631743713,0.36021644331435243,0.8412698412698413,0.5367965367965368,20/30,14/25
Liver,BCR,pct_IgD,NS,10.140287826008239,2.9962710459074016,4.297953998147422,0.46419164680396885,0.30952380952380953,1.0,20/30,18/25
Liver,BCR,pct_switched,NS,43.953457681155264,52.61273693385449,38.88175260515686,0.5367965367965368,0.15079365079365079,0.9307359307359306,19/30,20/25
Liver,BCR,pct_bcr,NS,4.445709108874684,2.7472515616218742,6.009122540064306,0.24675324675324672,0.5476190476190477,0.9307359307359306,22/30,16/25
Liver,BCR,top_clone,NS,3.0,2.0,4.0,1.0,1.0,0.9229529315676746,19/30,9/25
Liver,BCR,n_unique_clones,NS,12461.0,12461.0,12461.0,1.0,1.0,1.0,30/30,25/25
Liver,BCR,pct_IGHV3_23,NS,7.800204189035605,12.442265025344941,8.497994478429328,0.12554112554112554,0.09523809523809523,0.7922077922077921,24/30,21/25
Blood,BCR,clonality,NS,0.4955082194400985,0.3147062136496738,0.31402912947357947,0.15079365079365079,0.7301587301587302,0.19047619047619047,20/25,12/20
