Stage,tissue,donor,subcluster,proportion
CR,Blood,P191126,B_c01-IGHD,35.73232323232323
CR,Blood,P191126,B_c02-STX16,13.257575757575758
CR,Blood,P191126,B_c03-CD1C,31.060606060606062
CR,Blood,P191126,B_c04-COCH,15.656565656565657
CR,Blood,P191126,B_c05-TCL1A,0.12626262626262627
CR,Blood,P191126,B_c06-CD70,0.5050505050505051
CR,Blood,P191126,B_c07-FCRL5,0.4419191919191919
CR,Blood,P191126,plasmaB_c01-SDC1,0.06313131313131314
CR,Blood,P191126,plasmaB_c02-CD52,2.6515151515151514
CR,Blood,P191126,plasmaB_c03-MKI67,0.5050505050505051
CR,Blood,P191127,B_c01-IGHD,39.43346999627283
CR,Blood,P191127,B_c02-STX16,40.551621319418565
CR,Blood,P191127,B_c03-CD1C,4.584420424897503
CR,Blood,P191127,B_c04-COCH,7.26798360044726
CR,Blood,P191127,B_c05-TCL1A,2.6462914647782334
CR,Blood,P191127,B_c06-CD70,0.4845322400298174
CR,Blood,P191127,B_c07-FCRL5,1.0436079016026836
CR,Blood,P191127,plasmaB_c01-SDC1,0.0
CR,Blood,P191127,plasmaB_c02-CD52,3.5780842340663437
CR,Blood,P191127,plasmaB_c03-MKI67,0.40998881848676855
CR,Blood,P191210,B_c01-IGHD,40.12620638455828
CR,Blood,P191210,B_c02-STX16,40.497401633259095
CR,Blood,P191210,B_c03-CD1C,4.67706013363029
CR,Blood,P191210,B_c04-COCH,6.829992576095026
CR,Blood,P191210,B_c05-TCL1A,2.5612472160356345
CR,Blood,P191210,B_c06-CD70,0.4454342984409799
CR,Blood,P191210,B_c07-FCRL5,1.1135857461024499
CR,Blood,P191210,plasmaB_c01-SDC1,0.0
CR,Blood,P191210,plasmaB_c02-CD52,3.3036377134372676
CR,Blood,P191210,plasmaB_c03-MKI67,0.4454342984409799
CR,Liver,P191126,B_c01-IGHD,0.0
CR,Liver,P191126,B_c02-STX16,0.0
CR,Liver,P191126,B_c03-CD1C,1.2048192771084338
CR,Liver,P191126,B_c04-COCH,9.63855421686747
CR,Liver,P191126,B_c05-TCL1A,27.10843373493976
CR,Liver,P191126,B_c06-CD70,17.46987951807229
CR,Liver,P191126,B_c07-FCRL5,27.10843373493976
CR,Liver,P191126,plasmaB_c01-SDC1,9.63855421686747
CR,Liver,P191126,plasmaB_c02-CD52,7.228915662650602
CR,Liver,P191126,plasmaB_c03-MKI67,0.6024096385542169
CR,Liver,P191127,B_c01-IGHD,0.9174311926605505
CR,Liver,P191127,B_c02-STX16,1.529051987767584
CR,Liver,P191127,B_c03-CD1C,1.2232415902140672
CR,Liver,P191127,B_c04-COCH,10.397553516819572
CR,Liver,P191127,B_c05-TCL1A,35.16819571865443
CR,Liver,P191127,B_c06-CD70,14.37308868501529
CR,Liver,P191127,B_c07-FCRL5,21.712538226299692
CR,Liver,P191127,plasmaB_c01-SDC1,7.339449541284404
CR,Liver,P191127,plasmaB_c02-CD52,7.339449541284404
