metric,NL_mean,IT_mean,direction,pct_change,p_value,consistency,sig,tissue,pattern
clonality,0.5501206006947329,0.4874294046397289,↓,-11.395900458160071,0.13203463203463203,28/36, ,Liver,IA-emrg
pct_singleton,0.8062459379190628,1.5902789775485189,↑,97.24489795918367,0.3939393939393939,24/36, ,Liver,IA-emrg
pct_tcr,18.805675613020494,35.59364120521005,↑,89.27073899204166,0.06493506493506493,30/36,†,Liver,NS
top_clone,135.33333333333334,87.0,↓,-35.71428571428572,0.748348568843747,21/36, ,Liver,NS
n_unique_clones,40517.0,40517.0,↓,0.0,1.0,36/36, ,Liver,NS
clonality,0.5852570872186251,0.35148280211033234,↓,-39.94386231515475,0.031746031746031744,23/25,★,Blood,IT-spec
pct_singleton,1.351531455932078,4.134560801638818,↑,205.91672753834916,0.15079365079365079,20/25, ,Blood,IA-emrg
pct_tcr,16.69240415176828,31.84014490465257,↑,90.7463096098092,0.30952380952380953,18/25, ,Blood,NS
top_clone,115.4,56.8,↓,-50.77989601386482,0.5296192990034517,9/25, ,Blood,NS
n_unique_clones,40517.0,40517.0,↓,0.0,1.0,25/25, ,Blood,NS
