pathway,gene,in_h5ad
angiogenesis,VEGFA,True
angiogenesis,VEGFB,True
angiogenesis,FLT1,True
angiogenesis,KDR,True
angiogenesis,ANGPT1,True
angiogenesis,ANGPT2,True
angiogenesis,TEK,True
angiogenesis,HIF1A,True
angiogenesis,NOS3,True
antigen_presentation,HLA-DRA,True
antigen_presentation,HLA-DRB1,True
antigen_presentation,HLA-DPB1,True
antigen_presentation,HLA-DPA1,True
antigen_presentation,HLA-DQB1,True
antigen_presentation,CD74,True
antigen_presentation,B2M,True
antigen_presentation,TAP1,True
antigen_presentation,TAP2,True
apoptosis,BCL2,True
apoptosis,BAX,True
apoptosis,BAK1,True
apoptosis,CASP3,True
apoptosis,CASP8,True
apoptosis,FAS,True
cancer_associated,AFP,True
cancer_associated,GPC3,True
cancer_associated,TERT,True
cancer_associated,TP53,True
cancer_associated,CTNNB1,True
cancer_associated,MYC,True
cancer_associated,VEGFA,True
cancer_associated,MMP9,True
cancer_associated,SPP1,True
cell_cycle,CDK1,True
cell_cycle,CDK2,True
cell_cycle,CDK4,True
cell_cycle,CDK6,True
cell_cycle,CCNB1,True
cell_cycle,CCND1,True
cell_cycle,CCNE1,True
cell_cycle,CDKN1A,True
cell_cycle,CDKN2A,True
cell_cycle,RB1,True
checkpoint,PDCD1,True
checkpoint,CTLA4,True
checkpoint,HAVCR2,True
checkpoint,LAG3,True
checkpoint,TIGIT,True
checkpoint,TOX,True
cytotoxicity,GZMB,True
cytotoxicity,GZMA,True
cytotoxicity,GZMK,True
cytotoxicity,PRF1,True
cytotoxicity,GNLY,True
cytotoxicity,NKG7,True
cytotoxicity,FASLG,True
epigenetics,DNMT1,True
epigenetics,DNMT3A,True
epigenetics,TET2,True
epigenetics,KDM6A,True
epigenetics,EZH2,True
epigenetics,HDAC1,True
epigenetics,SETDB1,True
epigenetics,KMT2A,True
exhaustion,TOX,True
exhaustion,PDCD1,True
exhaustion,HAVCR2,True
exhaustion,LAG3,True
exhaustion,TIGIT,True
exhaustion,ENTPD1,True
fibrosis,COL1A1,True
fibrosis,COL3A1,True
fibrosis,ACTA2,True
fibrosis,FN1,True
fibrosis,TGFB1,True
fibrosis,TIMP1,True
fibrosis,MMP2,True
fibrosis,LOX,True
fibrosis,PDGFRB,True
fibrosis,LOXL2,True
glycolysis,HK1,True
glycolysis,HK2,True
glycolysis,PFKFB3,True
glycolysis,PKM,True
glycolysis,LDHA,True
glycolysis,ENO1,True
glycolysis,GAPDH,True
glycolysis,SLC2A1,True
il15_mtor,IL2RB,True
il15_mtor,IL2RG,True
il15_mtor,JAK1,True
il15_mtor,JAK3,True
il15_mtor,STAT5A,True
il15_mtor,STAT5B,True
il15_mtor,MTOR,True
il15_mtor,AKT1,True
il15_mtor,PIK3CA,True
il15_mtor,RPTOR,True
immune_evasion,LGALS9,True
immune_evasion,IDO1,True
immune_evasion,CD274,True
immune_evasion,PDCD1LG2,True
immune_evasion,HAVCR2,True
immune_evasion,VSIR,True
immune_evasion,TNFAIP3,True
immune_evasion,IL1RN,True
inflammasome,NLRP3,True
inflammasome,CASP1,True
inflammasome,IL1B,True
inflammasome,IL18,True
inflammasome,PYCARD,True
inflammasome,GSDMD,True
memory_t,IL7R,True
memory_t,CD44,True
memory_t,EOMES,True
memory_t,TBX21,True
memory_t,GZMK,True
memory_t,CCR7,True
memory_t,SELL,True
memory_t,TCF7,True
metabolic_recovery,PPARGC1A,True
metabolic_recovery,TFAM,True
metabolic_recovery,NRF1,True
metabolic_recovery,SIRT1,True
metabolic_recovery,PRKAA1,True
metabolic_recovery,PPARA,True
mito_dysfunction,MT-ATP6,True
mito_dysfunction,MT-CO1,True
mito_dysfunction,MT-CO2,True
mito_dysfunction,MT-CO3,True
mito_dysfunction,MT-CYB,True
mito_dysfunction,MT-ND1,True
mito_dysfunction,MT-ND4,True
mito_dysfunction,MT-ND5,True
naive_t,LEF1,True
naive_t,TCF7,True
naive_t,CCR7,True
naive_t,SELL,True
naive_t,IL7R,True
nk_function,NCAM1,True
nk_function,KLRD1,True
nk_function,KLRC2,True
nk_function,KLRK1,True
nk_function,NCR1,True
nk_function,NCR3,True
nk_il15_dual,IL2RB,True
nk_il15_dual,IL2RG,True
nk_il15_dual,JAK1,True
nk_il15_dual,JAK3,True
nk_il15_dual,STAT5A,True
nk_il15_dual,STAT5B,True
nk_il15_dual,MTOR,True
nk_il15_dual,AKT1,True
oxphos,ATP5F1A,True
oxphos,ATP5F1B,True
oxphos,NDUFA1,True
oxphos,NDUFB1,True
oxphos,COX5A,True
oxphos,UQCRB,True
oxphos,SDHB,True
proliferation,MKI67,True
proliferation,TOP2A,True
proliferation,PCNA,True
proliferation,CDK1,True
proliferation,CCNB1,True
senescence,CDKN1A,True
senescence,CDKN2A,True
senescence,TP53,True
senescence,RB1,True
senescence,SERPINE1,True
senescence,GLB1,True
senescence,LMNB1,True
stemness,TCF7,True
stemness,LEF1,True
stemness,MYB,True
stemness,SELL,True
stemness,CCR7,True
stemness,IL7R,True
stemness,BACH2,True
tf_programs,TBX21,True
tf_programs,EOMES,True
tf_programs,GATA3,True
tf_programs,RORC,True
tf_programs,BCL6,True
tf_programs,PRDM1,True
tf_programs,RUNX3,True
tf_programs,IRF4,True
tf_programs,BATF,True
tgfb_signaling,TGFB1,True
tgfb_signaling,TGFBR1,True
tgfb_signaling,TGFBR2,True
tgfb_signaling,SMAD2,True
tgfb_signaling,SMAD3,True
tgfb_signaling,SMAD4,True
tgfb_signaling,SMAD7,True
tissue_resident,ITGAE,True
tissue_resident,ITGA1,True
tissue_resident,CXCR6,True
tissue_resident,CD69,True
tissue_resident,RUNX3,True
tissue_resident,ZNF683,True
treg,FOXP3,True
treg,IL2RA,True
treg,CTLA4,True
treg,IKZF2,True
treg,TNFRSF18,True
type1_ifn,MX1,True
type1_ifn,ISG15,True
type1_ifn,STAT1,True
type1_ifn,STAT2,True
type1_ifn,IRF3,True
type1_ifn,IRF7,True
type1_ifn,IFNAR1,True
type1_ifn,OAS1,True
type1_ifn,IFI44L,True
