tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,Myeloid,angiogenesis,NL→IT,NL,IT,0.019629,0.013594,-30.7,↓,0.190476,NS,16/20,4,5
Blood,Myeloid,angiogenesis,NL→IA,NL,IA,0.019629,0.016056,-18.2,↓,0.485714,NS,11/16,4,4
Blood,Myeloid,angiogenesis,NL→AR,NL,AR,0.019629,0.013056,-33.5,↓,0.228571,NS,10/12,4,3
Blood,Myeloid,angiogenesis,NL→CR,NL,CR,0.019629,0.022704,15.7,↑,0.857143,NS,7/12,4,3
Blood,Myeloid,angiogenesis,IT→IA,IT,IA,0.013594,0.016056,18.1,↑,0.904762,NS,11/20,5,4
Blood,Myeloid,angiogenesis,IA→AR,IA,AR,0.016056,0.013056,-18.7,↓,1.0,NS,6/12,4,3
Blood,Myeloid,angiogenesis,CR→AR,CR,AR,0.022704,0.013056,-42.5,↓,0.4,NS,7/9,3,3
Blood,CD4_T,angiogenesis,NL→IT,NL,IT,0.011598,0.00698,-39.8,↓,0.007937,**,25/25,5,5
Blood,CD4_T,angiogenesis,NL→IA,NL,IA,0.011598,0.008556,-26.2,↓,0.190476,NS,16/20,5,4
Blood,CD4_T,angiogenesis,NL→AR,NL,AR,0.011598,0.007225,-37.7,↓,0.035714,*,15/15,5,3
Blood,CD4_T,angiogenesis,NL→CR,NL,CR,0.011598,0.010686,-7.9,↓,0.785714,NS,9/15,5,3
Blood,CD4_T,angiogenesis,IT→IA,IT,IA,0.00698,0.008556,22.6,↑,0.111111,NS,17/20,5,4
Blood,CD4_T,angiogenesis,IA→AR,IA,AR,0.008556,0.007225,-15.6,↓,0.4,NS,9/12,4,3
Blood,CD4_T,angiogenesis,CR→AR,CR,AR,0.010686,0.007225,-32.4,↓,0.4,NS,7/9,3,3
Blood,CD8_T,angiogenesis,NL→IT,NL,IT,0.006139,0.005402,-12.0,↓,0.690476,NS,15/25,5,5
Blood,CD8_T,angiogenesis,NL→IA,NL,IA,0.006139,0.008143,32.7,↑,0.412698,NS,14/20,5,4
Blood,CD8_T,angiogenesis,NL→AR,NL,AR,0.006139,0.004582,-25.4,↓,0.392857,NS,11/15,5,3
Blood,CD8_T,angiogenesis,NL→CR,NL,CR,0.006139,0.008911,45.2,↑,0.25,NS,12/15,5,3
Blood,CD8_T,angiogenesis,IT→IA,IT,IA,0.005402,0.008143,50.7,↑,0.190476,NS,16/20,5,4
Blood,CD8_T,angiogenesis,IA→AR,IA,AR,0.008143,0.004582,-43.7,↓,0.057143,†,12/12,4,3
