tissue_liver,gene,lineage,comparison_liver,stage1_liver,stage2_liver,mean_s1_liver,mean_s2_liver,pct_change_liver,direction_liver,p_value_liver,sig_liver,consistency_liver,n_s1_liver,n_s2_liver,tissue_blood,comparison_blood,stage1_blood,stage2_blood,mean_s1_blood,mean_s2_blood,pct_change_blood,direction_blood,p_value_blood,sig_blood,consistency_blood,n_s1_blood,n_s2_blood
Liver,TOX,CD8_T,NL→IT,NL,IT,0.2280252,0.42543235,86.5999984741211,↑,0.002165,**,36/36,6,6,Blood,NL→IT,NL,IT,0.15423551,0.1018134,-34.0,↓,0.420635,NS,17/25,5,5
Liver,BCL6,CD8_T,NL→IT,NL,IT,0.0459332,0.120848864,163.10000610351562,↑,0.004329,**,35/36,6,6,Blood,NL→IT,NL,IT,0.013443465,0.0071262866,-47.0,↓,0.517904,NS,14/25,5,5
Liver,TIGIT,CD8_T,NL→IT,NL,IT,0.2364207,0.5945039,151.5,↑,0.004329,**,35/36,6,6,Blood,NL→IT,NL,IT,0.34593913,0.21055773,-39.09999847412109,↓,0.095238,†,21/25,5,5
Liver,CTLA4,CD4_T,NL→IT,NL,IT,0.104760885,0.28403524,171.10000610351562,↑,0.004329,**,35/36,6,6,Blood,NL→IT,NL,IT,0.17237581,0.07934436,-54.0,↓,0.095238,†,21/25,5,5
Liver,TOX,Myeloid,NL→IT,NL,IT,0.004393392,0.08596864,1856.800048828125,↑,0.004337,**,36/36,6,6,Blood,NL→IT,NL,IT,0.032687202,0.0033713125,-89.69999694824219,↓,0.746476,NS,9/25,5,5
Liver,LAYN,CD4_T,NL→IT,NL,IT,0.026109649,0.13851188,430.5,↑,0.008658,**,34/36,6,6,Blood,NL→IT,NL,IT,0.009453646,0.004453427,-52.900001525878906,↓,0.401965,NS,8/25,5,5
Liver,EIF4EBP1,NK,NL→IT,NL,IT,0.13119063,0.06157023,-53.09999847412109,↓,0.008658,**,34/36,6,6,Blood,NL→IT,NL,IT,0.08123996,0.08386645,3.200000047683716,↑,0.84127,NS,14/25,5,5
Liver,TOX,CD4_T,NL→IT,NL,IT,0.15769193,0.31641915,100.6999969482422,↑,0.008658,**,34/36,6,6,Blood,NL→IT,NL,IT,0.1522135,0.094421506,-38.0,↓,1.0,NS,13/25,5,5
Liver,TOX2,CD4_T,NL→IT,NL,IT,0.029588051,0.10122948,242.1000061035156,↑,0.008658,**,34/36,6,6,Blood,NL→IT,NL,IT,0.027806025,0.018434789,-33.70000076293945,↓,0.547619,NS,16/25,5,5
Liver,DNMT3B,NK,NL→IT,NL,IT,0.003280498,0.0005313327,-83.80000305175781,↓,0.012436,*,34/36,6,6,Blood,NL→IT,NL,IT,0.0002333731,0.00048867054,109.4000015258789,↑,0.440686,NS,10/25,5,5
Liver,EIF4EBP1,CD4_T,NL→IT,NL,IT,0.09859064,0.05023527,-49.0,↓,0.015152,*,33/36,6,6,Blood,NL→IT,NL,IT,0.058018625,0.06095774,5.099999904632568,↑,1.0,NS,13/25,5,5
Liver,TIGIT,CD4_T,NL→IT,NL,IT,0.17953838,0.4017423,123.8000030517578,↑,0.015152,*,33/36,6,6,Blood,NL→IT,NL,IT,0.24880676,0.18120852,-27.200000762939453,↓,0.84127,NS,14/25,5,5
Liver,CDKN1A,PlasmaB,NL→IT,NL,IT,0.9455891,1.4930073,57.900001525878906,↑,0.017316,*,28/30,6,5,Blood,NL→IT,NL,IT,0.31754494,0.120408274,-62.09999847412109,↓,0.753298,NS,14/25,5,5
Liver,CASP8,PlasmaB,NL→IT,NL,IT,0.08401882,0.2687725,219.8999938964844,↑,0.022174,*,28/30,6,5,Blood,NL→IT,NL,IT,0.2339458,0.21500686,-8.100000381469727,↓,0.420635,NS,8/25,5,5
Liver,CXCL13,CD8_T,NL→IT,NL,IT,0.000563663,0.04230233,7404.89990234375,↑,0.024992,*,30/36,6,6,Blood,NL→IT,NL,IT,0.0003232813,0.0,-100.0,↓,0.423711,NS,5/25,5,5
Liver,BATF,Myeloid,NL→IT,NL,IT,0.16410907,0.061665103,-62.400001525878906,↓,0.025974,*,32/36,6,6,Blood,NL→IT,NL,IT,0.09531076,0.1258401,32.0,↑,0.690476,NS,15/25,5,5
Liver,PDCD1,CD8_T,NL→IT,NL,IT,0.29914555,0.58536863,95.6999969482422,↑,0.025974,*,32/36,6,6,Blood,NL→IT,NL,IT,0.1500996,0.063714325,-57.59999847412109,↓,1.0,NS,12/25,5,5
Liver,TP53,CD8_T,NL→IT,NL,IT,0.037364177,0.06181705,65.4000015258789,↑,0.025974,*,32/36,6,6,Blood,NL→IT,NL,IT,0.12672849,0.08731982,-31.100000381469727,↓,0.690476,NS,15/25,5,5
Liver,BIRC5,Myeloid,NL→IT,NL,IT,0.00490065,0.030347072,519.2000122070312,↑,0.040253,*,28/36,6,6,Blood,NL→IT,NL,IT,0.008397618,0.0,-100.0,↓,0.179712,NS,10/25,5,5
