tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,AICDA,AIM2,-0.261,0.229456,NS,23,0.5016542794953398,0.6235817272727273
Liver,Myeloid,AICDA,ATM,-0.354,0.097929,†,23,0.3136249371771372,0.44717303038674033
Liver,Myeloid,AICDA,B2M,0.129,0.558799,NS,23,0.7760558338992848,0.8336595189530687
Liver,Myeloid,AICDA,BAK1,-0.064,0.770748,NS,23,0.89787171039709,0.9241133060188542
Liver,Myeloid,AICDA,BCL6,0.0,1.0,NS,23,1.0,1.0
Liver,Myeloid,AICDA,CASP1,-0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,CD27,-0.111,0.613159,NS,23,0.8122672455197133,0.8649160579216355
Liver,Myeloid,AICDA,CD44,0.161,0.463851,NS,23,0.7128833248800001,0.7882322886386899
Liver,Myeloid,AICDA,CD74,-0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,CTLA4,0.136,0.535543,NS,23,0.7614855924061876,0.8211990528756957
Liver,Myeloid,AICDA,DNMT1,-0.257,0.236244,NS,23,0.5079444302182429,0.6235817272727273
Liver,Myeloid,AICDA,DNMT3A,0.0,1.0,NS,23,1.0,1.0
Liver,Myeloid,AICDA,FCER1G,0.289,0.180648,NS,23,0.4410814346720895,0.5787037674418605
Liver,Myeloid,AICDA,GZMB,-0.204,0.349832,NS,23,0.6242450819245773,0.7337232878787879
Liver,Myeloid,AICDA,HLA-DPA1,-0.257,0.236244,NS,23,0.5079444302182429,0.6235817272727273
Liver,Myeloid,AICDA,HLA-DPB1,-0.193,0.377991,NS,23,0.6463905320113817,0.738469455726092
Liver,Myeloid,AICDA,HLA-DRA,-0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,HLA-DRB1,-0.193,0.377991,NS,23,0.6463905320113817,0.738469455726092
Liver,Myeloid,AICDA,IL1B,-0.129,0.558799,NS,23,0.7760558338992848,0.8336595189530687
Liver,Myeloid,AICDA,IL1RN,0.097,0.661313,NS,23,0.8431993126037035,0.8870014087591241
Liver,Myeloid,AICDA,IL2RA,-0.097,0.658838,NS,23,0.8412160586202314,0.8870014087591241
Liver,Myeloid,AICDA,IRF3,-0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,IRF7,0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,ISG15,0.032,0.884249,NS,23,0.9518162605677173,0.973905947889182
Liver,Myeloid,AICDA,JAK1,-0.289,0.180648,NS,23,0.4410814346720895,0.5787037674418605
Liver,Myeloid,AICDA,JCHAIN,-0.151,0.491128,NS,23,0.7319106359475603,0.8044230857142857
Liver,Myeloid,AICDA,LAYN,-0.138,0.529898,NS,23,0.75770780544805,0.8192129609302327
Liver,Myeloid,AICDA,LDHA,0.321,0.134787,NS,23,0.3742979267129228,0.510862821670429
Liver,Myeloid,AICDA,LGALS9,-0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,LILRB1,-0.225,0.301882,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,AICDA,MEFV,0.129,0.558799,NS,23,0.7760558338992848,0.8336595189530687
Liver,Myeloid,AICDA,MT-CYB,-0.161,0.463851,NS,23,0.7128833248800001,0.7882322886386899
Liver,Myeloid,AICDA,MT-ND1,0.096,0.661629,NS,23,0.8432664180322431,0.8870014087591241
Liver,Myeloid,AICDA,MT-ND2,0.193,0.377991,NS,23,0.6463905320113817,0.738469455726092
