pattern,tissue,gene,lineage,IT_pct,IT_p,IA_p,direction,consistency
IT_specific,Liver,ATM,Myeloid,43.79999923706055,0.025974,0.536797,↑,32/36
IT_specific,Liver,BATF,Myeloid,-62.400001525878906,0.025974,0.082139,↓,32/36
IT_specific,Liver,BCL6,CD8_T,163.10000610351562,0.004329,0.177489,↑,35/36
IT_specific,Liver,BIRC5,Myeloid,519.2000122070312,0.040253,0.073153,↑,28/36
IT_specific,Liver,CASP3,Myeloid,112.4000015258789,0.025974,0.792208,↑,32/36
IT_specific,Liver,CASP8,Myeloid,77.9000015258789,0.041126,0.930736,↑,31/36
IT_specific,Liver,CCR7,Myeloid,460.6000061035156,0.012907,0.779243,↑,34/36
IT_specific,Liver,CD69,B,-27.399999618530277,0.017316,0.051948,↓,28/30
IT_specific,Liver,CDKN1A,PlasmaB,57.900001525878906,0.017316,0.246753,↑,28/30
IT_specific,Liver,CDKN2A,PlasmaB,-62.09999847412109,0.017316,0.177489,↓,28/30
IT_specific,Liver,COL1A1,NK,-63.79999923706055,0.015152,0.536797,↓,33/36
IT_specific,Liver,DNMT1,Myeloid,125.1999969482422,0.002165,0.329004,↑,36/36
IT_specific,Liver,DNMT3A,PlasmaB,748.7000122070312,0.011644,0.103604,↑,29/30
IT_specific,Liver,EIF4EBP1,CD4_T,-49.0,0.015152,0.177489,↓,33/36
IT_specific,Liver,EIF4EBP1,NK,-53.09999847412109,0.008658,0.246753,↓,34/36
IT_specific,Liver,FCER1G,PlasmaB,219.3999938964844,0.017316,0.051948,↑,28/30
IT_specific,Liver,FOXP3,CD8_T,1247.4000244140625,0.044951,0.407016,↑,31/36
IT_specific,Liver,GLB1,PlasmaB,233.3000030517578,0.022174,0.117306,↑,28/30
IT_specific,Liver,GZMB,PlasmaB,297.70001220703125,0.008658,0.051948,↑,29/30
IT_specific,Liver,IGFBP7,CD4_T,2134.699951171875,0.016711,0.11275,↑,30/36
IT_specific,Liver,IL2RA,B,533.2000122070312,0.007969,0.082139,↑,30/30
IT_specific,Liver,IRF4,Myeloid,231.0,0.015152,0.051948,↑,33/36
IT_specific,Liver,IRF4,CD8_T,91.6999969482422,0.041126,0.125541,↑,31/36
IT_specific,Liver,JAK1,CD4_T,36.0,0.041126,0.082251,↑,31/36
IT_specific,Liver,LAYN,CD4_T,430.5,0.008658,0.125541,↑,34/36
