tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Blood,ACTA2,Myeloid,NL→IT,NL,IT,0.024934513,0.03910784,56.79999923706055,↑,0.420635,NS,17/25,5,5,0.5744123350515464
Blood,ACTA2,Myeloid,NL→IA,NL,IA,0.024934513,0.045731,83.4000015258789,↑,0.285714,NS,15/20,5,4,0.4667253540372671
Blood,ACTA2,Myeloid,NL→AR,NL,AR,0.024934513,0.062746875,151.60000610351562,↑,0.142857,NS,13/15,5,3,0.34469166055045874
Blood,ACTA2,Myeloid,NL→CR,NL,CR,0.024934513,0.037297487,49.59999847412109,↑,0.392857,NS,11/15,5,3,0.552520807486631
Blood,ACTA2,Myeloid,IT→IA,IT,IA,0.03910784,0.045731,16.899999618530273,↑,0.412698,NS,14/20,5,4,1.0
Blood,ACTA2,Myeloid,IA→AR,IA,AR,0.045731,0.062746875,37.20000076293945,↑,0.628571,NS,8/12,4,3,1.0
Blood,ACTA2,Myeloid,CR→AR,CR,AR,0.037297487,0.062746875,68.19999694824219,↑,0.2,NS,8/9,3,3,0.5977272727272728
Blood,ACTA2,CD4_T,NL→IT,NL,IT,0.03559365,0.042838253,20.39999961853028,↑,0.547619,NS,16/25,5,5,0.9601586466666666
Blood,ACTA2,CD4_T,NL→IA,NL,IA,0.03559365,0.056557544,58.900001525878906,↑,0.412698,NS,14/20,5,4,0.847965421875
Blood,ACTA2,CD4_T,NL→AR,NL,AR,0.03559365,0.044705674,25.600000381469727,↑,0.392857,NS,11/15,5,3,0.8071983671875
Blood,ACTA2,CD4_T,NL→CR,NL,CR,0.03559365,0.03149599,-11.5,↓,1.0,NS,7/15,5,3,1.0
Blood,ACTA2,CD4_T,IT→IA,IT,IA,0.042838253,0.056557544,32.0,↑,0.730159,NS,12/20,5,4,1.0
Blood,ACTA2,CD4_T,IA→AR,IA,AR,0.056557544,0.044705674,-21.0,↓,0.857143,NS,7/12,4,3,1.0
Blood,ACTA2,CD4_T,CR→AR,CR,AR,0.03149599,0.044705674,41.900001525878906,↑,0.2,NS,8/9,3,3,0.6414634146341464
Blood,ACTA2,CD8_T,NL→IT,NL,IT,0.03861019,0.05195223,34.599998474121094,↑,0.204501,NS,19/25,5,5,0.7215356296296296
Blood,ACTA2,CD8_T,NL→IA,NL,IA,0.03861019,0.08593157,122.5999984741211,↑,0.170609,NS,16/20,5,4,0.6679358400000001
Blood,ACTA2,CD8_T,NL→AR,NL,AR,0.03861019,0.0783522,102.9000015258789,↑,0.2217,NS,12/15,5,3,0.7146739130434783
Blood,ACTA2,CD8_T,NL→CR,NL,CR,0.03861019,0.038425524,-0.5,↓,0.2217,NS,3/15,5,3,0.5923423423423423
Blood,ACTA2,CD8_T,IT→IA,IT,IA,0.05195223,0.08593157,65.4000015258789,↑,0.285714,NS,15/20,5,4,0.960527203539823
Blood,ACTA2,CD8_T,IA→AR,IA,AR,0.08593157,0.0783522,-8.800000190734863,↓,0.857143,NS,7/12,4,3,1.0
Blood,ACTA2,CD8_T,CR→AR,CR,AR,0.038425524,0.0783522,103.9000015258789,↑,0.7,NS,6/9,3,3,0.9113861386138613
Blood,ACTA2,NK,NL→IT,NL,IT,0.06825206,0.08924426,30.799999237060547,↑,0.150794,NS,20/25,5,5,0.5359300270270271
