tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,Myeloid,angiogenesis,NL→IT,NL,IT,0.058867,0.021536,-63.4,↓,0.082251,†,25/30,6,5,0.265031
Liver,Myeloid,angiogenesis,NL→IA,NL,IA,0.058867,0.008782,-85.1,↓,0.035344,*,27/30,6,5,0.914657238095238
Liver,Myeloid,angiogenesis,NL→AR,NL,AR,0.058867,0.0272,-53.8,↓,0.261905,NS,14/18,6,3,0.5063496666666666
Liver,Myeloid,angiogenesis,NL→CR,NL,CR,0.058867,0.015946,-72.9,↓,0.095238,†,16/18,6,3,0.8055571666666668
Liver,Myeloid,angiogenesis,IT→IA,IT,IA,0.021536,0.008782,-59.2,↓,0.090688,†,20/25,5,5,0.5523804
Liver,Myeloid,angiogenesis,IA→AR,IA,AR,0.008782,0.0272,209.7,↑,0.359397,NS,10/15,5,3,0.7595235333333333
Liver,Myeloid,angiogenesis,CR→AR,CR,AR,0.015946,0.0272,70.6,↑,0.7,NS,6/9,3,3,1.0
Liver,CD4_T,angiogenesis,NL→IT,NL,IT,0.016291,0.010828,-33.5,↓,0.132035,NS,28/36,6,6,0.6381691666666668
Liver,CD4_T,angiogenesis,NL→IA,NL,IA,0.016291,0.007337,-55.0,↓,0.008658,**,29/30,6,5,0.251082
Liver,CD4_T,angiogenesis,NL→AR,NL,AR,0.016291,0.010221,-37.3,↓,0.380952,NS,13/18,6,3,0.7562357619047618
Liver,CD4_T,angiogenesis,NL→CR,NL,CR,0.016291,0.008879,-45.5,↓,0.095238,†,16/18,6,3,0.5523804
Liver,CD4_T,angiogenesis,IT→IA,IT,IA,0.010828,0.007337,-32.2,↓,0.177489,NS,23/30,6,5,0.9189612800000001
Liver,CD4_T,angiogenesis,IA→AR,IA,AR,0.007337,0.010221,39.3,↑,0.571429,NS,10/15,5,3,0.9114282400000001
