Gene,Lineage,Tissue,NL->IT,NL->IA,NL->CR,NL->AR
AICDA,B,Liver,*from_zero p=0.048,from_zero p=0.361,-0% p=1.000,(t)from_zero p=0.052
AICDA,B,Blood,*+4151% p=0.010,*+6347% p=0.015,+907% p=0.696,*+7915% p=0.026
AIM2,PlasmaB,Blood,(t)+258% p=0.057,(t)+272% p=0.062,+204% p=0.127,*+484% p=0.033
AIM2,B,Liver,(t)+115% p=0.052,*+192% p=0.009,*+117% p=0.048,*+252% p=0.024
ANGPT2,B,Blood,(t)from_zero p=0.072,*from_zero p=0.042,(t)from_zero p=0.079,-0% p=1.000
AR,PlasmaB,Blood,*from_zero p=0.007,*from_zero p=0.042,from_zero p=0.302,(t)from_zero p=0.079
ATM,PlasmaB,Liver,-9% p=0.792,-10% p=0.537,-20% p=0.714,*-70% p=0.048
ATP5F1A,PlasmaB,Liver,+16% p=0.429,+35% p=0.177,+26% p=0.381,*+59% p=0.024
ATP5F1B,PlasmaB,Liver,*+47% p=0.030,*+81% p=0.009,*+66% p=0.024,*+97% p=0.024
ATP5F1B,PlasmaB,Blood,*+25% p=0.016,+27% p=0.286,*+22% p=0.036,(t)+28% p=0.071
ATP5F1B,B,Blood,+15% p=0.421,*+25% p=0.032,+21% p=0.143,*+34% p=0.036
BCL2,PlasmaB,Blood,+119% p=0.139,+203% p=0.105,*+374% p=0.033,+246% p=0.127
BCL2,B,Blood,*+84% p=0.008,(t)+85% p=0.064,*+161% p=0.036,+122% p=0.143
BCL6,B,Blood,*+218% p=0.012,*+402% p=0.019,+59% p=0.764,+64% p=0.549
CASP8,PlasmaB,Liver,*+220% p=0.022,*+208% p=0.022,+158% p=0.243,+41% p=0.697
CCND1,B,Liver,+234% p=0.292,(t)+252% p=0.062,+44% p=0.694,*+636% p=0.026
CCND1,B,Blood,*+467% p=0.011,*+997% p=0.018,*+275% p=0.033,*+539% p=0.033
CD19,B,Liver,(t)+55% p=0.082,*+49% p=0.004,*+49% p=0.024,*+58% p=0.024
CD27,B,Liver,*+125% p=0.017,*+114% p=0.030,+46% p=0.714,(t)+163% p=0.095
CD274,PlasmaB,Blood,from_zero p=0.180,*from_zero p=0.042,(t)from_zero p=0.079,from_zero p=0.302
CD274,B,Blood,*+438% p=0.031,+221% p=0.467,+357% p=0.112,+202% p=0.305
CD38,PlasmaB,Liver,-35% p=0.126,(t)-44% p=0.052,*-51% p=0.048,*-59% p=0.048
CD38,PlasmaB,Blood,-32% p=0.222,-26% p=0.413,*-55% p=0.036,+1% p=0.786
CD38,B,Blood,+231% p=0.139,*+425% p=0.018,(t)+315% p=0.067,+150% p=0.222
CD44,B,Blood,*+97% p=0.008,*+115% p=0.016,*+157% p=0.036,*+151% p=0.036
CD69,B,Liver,*-27% p=0.017,(t)-27% p=0.052,*-34% p=0.048,-31% p=0.262
CDK1,B,Blood,*+1073% p=0.045,*+3359% p=0.030,+358% p=0.305,+1901% p=0.172
CDK2,PlasmaB,Blood,(t)+524% p=0.052,*+1574% p=0.030,(t)+752% p=0.057,+376% p=0.305
CDK4,B,Blood,*+109% p=0.016,+74% p=0.191,+34% p=0.786,*+132% p=0.036
CDKN1A,PlasmaB,Liver,*+58% p=0.017,+35% p=0.247,+12% p=0.905,-17% p=0.381
CDKN2A,PlasmaB,Liver,*-62% p=0.017,-38% p=0.177,*-62% p=0.048,*-86% p=0.024
CDKN2A,PlasmaB,Blood,(t)-50% p=0.056,(t)-64% p=0.064,*-77% p=0.036,-40% p=0.250
COX4I1,PlasmaB,Liver,(t)+26% p=0.082,*+49% p=0.009,*+28% p=0.048,*+57% p=0.024
CTLA4,B,Liver,-0% p=1.000,*from_zero p=0.048,-0% p=1.000,-0% p=1.000
DNMT1,PlasmaB,Liver,(t)+162% p=0.082,*+237% p=0.009,*+143% p=0.048,+26% p=0.548
DNMT3A,PlasmaB,Liver,*+749% p=0.012,+317% p=0.104,*+328% p=0.043,*+948% p=0.043
DNMT3A,PlasmaB,Blood,+289% p=0.106,+258% p=0.171,*+613% p=0.033,+66% p=0.359
DNMT3A,B,Blood,(t)+204% p=0.059,(t)+160% p=0.065,*+166% p=0.036,*+204% p=0.036
DNMT3B,PlasmaB,Blood,-0% p=1.000,from_zero p=0.371,*from_zero p=0.017,from_zero p=0.302
EIF4EBP1,PlasmaB,Liver,+84% p=0.329,+134% p=0.143,*+317% p=0.024,+329% p=0.437
EIF4EBP1,B,Blood,*+52% p=0.008,+24% p=0.905,+10% p=1.000,+47% p=0.250
ENTPD1,B,Blood,*+134% p=0.021,(t)+117% p=0.065,+70% p=0.368,(t)+109% p=0.072
EZH2,PlasmaB,Blood,(t)+141% p=0.059,+164% p=0.110,+92% p=0.368,*+326% p=0.036
FCER1G,PlasmaB,Liver,*+219% p=0.017,(t)+213% p=0.052,*+258% p=0.024,*+274% p=0.024
FCER1G,PlasmaB,Blood,*+515% p=0.021,(t)+437% p=0.065,*+379% p=0.036,+93% p=0.230
GLB1,PlasmaB,Liver,*+233% p=0.022,+334% p=0.117,(t)+245% p=0.052,+234% p=0.893
GNLY,PlasmaB,Liver,-100% p=0.223,+222% p=0.908,*+2463% p=0.022,*+11297% p=0.022
GZMB,PlasmaB,Liver,*+298% p=0.009,(t)+232% p=0.052,*+300% p=0.024,*+265% p=0.048
GZMK,B,Blood,-16% p=1.000,+226% p=0.306,*+511% p=0.033,-5% p=1.000
HAVCR2,PlasmaB,Blood,(t)from_zero p=0.072,from_zero p=0.131,*from_zero p=0.017,(t)from_zero p=0.079
HDAC1,PlasmaB,Liver,*+113% p=0.009,*+107% p=0.030,+115% p=0.262,*+139% p=0.024
HDAC1,PlasmaB,Blood,+51% p=0.222,+116% p=0.191,*+138% p=0.036,+52% p=0.250
ID3,B,Blood,+77% p=0.151,*+124% p=0.032,-49% p=0.143,(t)+85% p=0.071
IGFBP7,B,Blood,(t)from_zero p=0.072,from_zero p=0.131,*from_zero p=0.017,(t)from_zero p=0.079
IGHA2,PlasmaB,Liver,*-67% p=0.004,-31% p=0.177,+2% p=0.548,+26% p=1.000
IGHA2,B,Liver,+78% p=0.231,+123% p=0.231,+119% p=0.243,*+322% p=0.028
IGHEP2,B,Blood,-0% p=1.000,-0% p=1.000,*from_zero p=0.017,from_zero p=0.302
