gene,lineage,tissue,comparison,n_IT,n_IA,mean_IT,mean_IA,pct_change,direction,p_value,sig,consistency,donors_IT,donors_IA
TGFB1,NK,Blood,IT→IA,5,4,1.4759,2.1233,43.9,↑,0.0159,★,20/20,"[1.1623, 1.311, 1.4317, 1.7015, 1.7728]","[1.8253, 1.8293, 2.1141, 2.7246]"
ID3,NK,Blood,IT→IA,5,4,0.0044,0.038,770.3,↑,0.0317,★,19/20,"[0.0014, 0.0017, 0.0031, 0.0049, 0.0107]","[0.0088, 0.0127, 0.0201, 0.1102]"
SERPINE1,NK,Blood,IT→IA,5,4,0.0027,0.0119,341.4,↑,0.0159,★,20/20,"[0.0009, 0.0017, 0.0035, 0.0037, 0.0038]","[0.0045, 0.0059, 0.0083, 0.0289]"
SERPINE1,CD4_T,Liver,IT→IA,6,5,0.0008,0.0048,534.1,↑,0.0444,★,24/30,"[0.0, 0.0, 0.0, 0.0, 0.0017, 0.0028]","[0.0, 0.0039, 0.0054, 0.0065, 0.0081]"
TOX,Myeloid,Liver,IT→IA,6,5,0.086,0.0033,-96.1,↓,0.0067,★,30/30,"[0.0182, 0.0241, 0.0427, 0.0553, 0.0666, 0.3088]","[0.0, 0.0, 0.0, 0.0, 0.0166]"
GZMK,Myeloid,Liver,IT→IA,6,5,0.0957,0.0016,-98.4,↓,0.0116,★,29/30,"[0.0058, 0.0121, 0.0429, 0.0511, 0.0924, 0.3697]","[0.0, 0.0, 0.0, 0.0, 0.0078]"
GZMK,CD8_T,Liver,IT→IA,6,5,2.1094,1.6306,-22.7,↓,0.0303,★,27/30,"[1.7924, 1.9616, 1.9829, 2.0858, 2.4032, 2.4306]","[0.7389, 1.7047, 1.8297, 1.9269, 1.9526]"
TOX2,CD8_T,Liver,IT→IA,6,5,0.0557,0.1319,136.7,↑,0.0823,†,25/30,"[0.0, 0.0354, 0.0355, 0.0798, 0.0915, 0.0923]","[0.0077, 0.1294, 0.1304, 0.1531, 0.2392]"
LGALS9,NK,Liver,IT→IA,6,5,0.1709,0.1169,-31.6,↓,0.0519,†,26/30,"[0.1316, 0.1342, 0.1406, 0.1429, 0.2139, 0.262]","[0.0958, 0.0961, 0.1125, 0.1148, 0.1655]"
AIM2,CD8_T,Blood,IT→IA,5,4,0.0101,0.0284,180.7,↑,0.0635,†,18/20,"[0.0, 0.0029, 0.0071, 0.0111, 0.0295]","[0.0119, 0.0185, 0.034, 0.0491]"
MTOR,Myeloid,Liver,IT→IA,6,5,0.0733,0.0259,-64.7,↓,0.0617,†,24/30,"[0.0, 0.0602, 0.073, 0.0924, 0.0935, 0.1205]","[0.0, 0.0, 0.0, 0.0594, 0.07]"
CTLA4,Myeloid,Liver,IT→IA,6,5,0.0398,0.0042,-89.4,↓,0.0689,†,23/30,"[0.0, 0.0081, 0.0098, 0.0532, 0.0615, 0.1062]","[0.0, 0.0, 0.0, 0.0, 0.0212]"
