gene,lineage,tissue,comparison,n_IT,n_IA,mean_IT,mean_IA,pct_change,direction,p_value,sig,consistency,donors_IT,donors_IA
TGFB1,NK,Blood,IT→IA,5,4,1.4759,2.1233,43.9,↑,0.0159,★,20/20,"[1.1623, 1.311, 1.4317, 1.7015, 1.7728]","[1.8253, 1.8293, 2.1141, 2.7246]"
SERPINE1,NK,Blood,IT→IA,5,4,0.0027,0.0119,341.4,↑,0.0159,★,20/20,"[0.0009, 0.0017, 0.0035, 0.0037, 0.0038]","[0.0045, 0.0059, 0.0083, 0.0289]"
ID3,NK,Blood,IT→IA,5,4,0.0044,0.038,770.3,↑,0.0317,★,19/20,"[0.0014, 0.0017, 0.0031, 0.0049, 0.0107]","[0.0088, 0.0127, 0.0201, 0.1102]"
TOX,Myeloid,Liver,IT→IA,6,5,0.086,0.0033,-96.1,↓,0.0067,★,30/30,"[0.0182, 0.0241, 0.0427, 0.0553, 0.0666, 0.3088]","[0.0, 0.0, 0.0, 0.0, 0.0166]"
GZMK,Myeloid,Liver,IT→IA,6,5,0.0957,0.0016,-98.4,↓,0.0116,★,29/30,"[0.0058, 0.0121, 0.0429, 0.0511, 0.0924, 0.3697]","[0.0, 0.0, 0.0, 0.0, 0.0078]"
SERPINE1,Myeloid,Blood,IT→IA,5,4,0.0032,0.0052,60.9,↑,0.6228,,7/20,"[0.0, 0.002, 0.0033, 0.0034, 0.0076]","[0.0, 0.0004, 0.0009, 0.0196]"
SERPINE1,Myeloid,Liver,IT→IA,6,5,0.0306,0.0169,-44.6,↓,0.3703,,16/30,"[0.0, 0.0, 0.0133, 0.0378, 0.0553, 0.0773]","[0.0, 0.0, 0.0, 0.0, 0.0847]"
TGFB1,NK,Liver,IT→IA,6,5,1.8899,2.0792,10.0,↑,0.5368,,19/30,"[1.4302, 1.4516, 1.7554, 2.0491, 2.291, 2.362]","[1.3175, 1.569, 2.328, 2.4809, 2.7007]"
TOX,Myeloid,Blood,IT→IA,5,4,0.0034,0.0062,83.7,↑,0.2857,,15/20,"[0.0, 0.0018, 0.0021, 0.0026, 0.0104]","[0.0018, 0.0038, 0.0045, 0.0146]"
GZMK,Myeloid,Blood,IT→IA,5,4,0.0028,0.0081,192.6,↑,0.2683,,15/20,"[0.0, 0.0, 0.0012, 0.0017, 0.0109]","[0.0011, 0.0045, 0.0045, 0.0222]"
GZMK,NK,Blood,IT→IA,5,4,0.294,0.7683,161.3,↑,0.1111,,17/20,"[0.1002, 0.1405, 0.2999, 0.302, 0.6274]","[0.3569, 0.4148, 0.4239, 1.8776]"
GZMK,NK,Liver,IT→IA,6,5,0.9566,1.0239,7.0,↑,1.0,,15/30,"[0.5738, 0.6199, 0.9568, 1.0155, 1.1639, 1.4097]","[0.4592, 0.9254, 0.993, 1.1438, 1.5979]"
GZMK,CD8_T,Liver,IT→IA,6,5,2.1094,1.6306,-22.7,↓,0.0303,★,27/30,"[1.7924, 1.9616, 1.9829, 2.0858, 2.4032, 2.4306]","[0.7389, 1.7047, 1.8297, 1.9269, 1.9526]"
GZMK,CD8_T,Blood,IT→IA,5,4,0.6017,0.9994,66.1,↑,0.9048,,11/20,"[0.2647, 0.2753, 0.4379, 0.7501, 1.2803]","[0.2543, 0.4184, 1.2303, 2.0945]"
