Gene,Lineage,Tissue,NL→IT_change,NL→IT_p,NL→IT_sig,NL→IT_consistency,IT→IA_change,IT→IA_p,IT→IA_sig,IT→IA_consistency,NL→IA_change,NL→IA_p,NL→IA_sig,NL→IA_consistency,Pattern
TGFB1,Myeloid,Blood,↑155.6%,0.0079,★,25/25,↑8.0%,0.4127,,14/20,↑176.0%,0.0159,★,20/20,IT-persistent
TGFB1,Myeloid,Liver,↑9.1%,0.4848,,23/36,↑34.5%,0.1255,,24/30,↑46.8%,0.0173,★,28/30,Chronic (NL→IA sig)
TGFB1,NK,Blood,↑22.8%,0.3095,,18/25,↑43.9%,0.0159,★,20/20,↑76.6%,0.0159,★,20/20,IA-emergent
ID3,CD4_T,Blood,↑367.9%,0.0159,★,24/25,↑30.5%,0.5556,,13/20,↑510.4%,0.0159,★,20/20,IT-persistent
ID3,CD4_T,Liver,↑64.1%,0.1797,,27/36,↓3.3%,0.5368,,11/30,↑58.7%,0.0087,★,29/30,Chronic (NL→IA sig)
ID3,CD8_T,Blood,↑453.0%,0.0361,★,23/25,↑25.5%,0.7302,,12/20,↑593.7%,0.0195,★,20/20,IT-persistent
ID3,NK,Blood,↑111.2%,0.2903,,18/25,↑770.3%,0.0317,★,19/20,↑1738.1%,0.0179,★,20/20,IA-emergent
SERPINE1,CD4_T,Liver,↓84.8%,0.3261,,18/36,↑534.1%,0.0444,★,24/30,↓3.9%,1.0,,14/30,IA-emergent
SERPINE1,Myeloid,Blood,↑1240.4%,0.0449,★,20/25,↑60.9%,0.6228,,7/20,↑2057.0%,0.2272,,13/20,IT-persistent
SERPINE1,NK,Blood,↑88.1%,0.2045,,19/25,↑341.4%,0.0159,★,20/20,↑730.2%,0.0617,†,18/20,IA-emergent
TOX,CD4_T,Liver,↑100.7%,0.0087,★,34/36,↓15.2%,0.9307,,14/30,↑70.2%,0.1255,,24/30,IT-persistent
TOX,CD8_T,Liver,↑86.6%,0.0022,★,36/36,↑4.1%,0.329,,21/30,↑94.2%,0.1255,,24/30,IT-persistent
TOX,Myeloid,Liver,↑1856.8%,0.0043,★,36/36,↓96.1%,0.0067,★,30/30,↓24.6%,0.9076,,8/30,TRANSITION
GZMK,CD8_T,Liver,↑28.7%,0.0649,†,30/36,↓22.7%,0.0303,★,27/30,↓0.5%,1.0,,15/30,IA-emergent
GZMK,Myeloid,Liver,↑248.3%,0.2946,,25/36,↓98.4%,0.0116,★,29/30,↓94.3%,0.2448,,15/30,IA-emergent
GZMK,NK,Blood,↑55.5%,0.8413,,14/25,↑161.3%,0.1111,,17/20,↑306.4%,0.0159,★,20/20,Chronic (NL→IA sig)
SNAI1,Myeloid,Liver,↓44.6%,0.2403,,26/36,↓53.4%,0.2722,,21/30,↓74.2%,0.0303,★,27/30,Chronic (NL→IA sig)
SOCS1,CD4_T,Blood,↓67.0%,0.0079,★,25/25,↑131.5%,0.9048,,9/20,↓23.6%,0.2857,,15/20,IT-persistent
SOCS1,CD8_T,Blood,↓64.0%,0.0079,★,25/25,↑142.1%,0.7302,,8/20,↓12.9%,0.2857,,15/20,IT-persistent
SOCS1,NK,Liver,↓22.5%,0.026,★,32/36,↓4.0%,0.7922,,13/30,↓25.6%,0.1775,,23/30,IT-persistent
SOCS3,CD4_T,Blood,↓76.9%,0.0079,★,25/25,↑50.7%,1.0,,10/20,↓65.2%,0.1111,,17/20,IT-persistent
SOCS3,CD8_T,Blood,↓78.9%,0.0159,★,24/25,↑141.2%,0.7302,,12/20,↓49.1%,0.1111,,17/20,IT-persistent
LAYN,CD4_T,Liver,↑430.5%,0.0087,★,34/36,↓32.4%,1.0,,15/30,↑258.8%,0.1255,,24/30,IT-persistent
LAYN,Myeloid,Blood,↑inf%,0.0254,★,20/25,↑13.4%,0.8057,,11/20,↑inf%,0.0416,★,15/20,IT-persistent
TOX2,CD4_T,Liver,↑242.1%,0.0087,★,34/36,↑2.5%,0.9307,,16/30,↑250.8%,0.0303,★,27/30,IT-persistent
LGALS9,CD4_T,Liver,↑104.9%,0.1488,,27/36,↑12.9%,0.9307,,16/30,↑131.4%,0.0173,★,28/30,Chronic (NL→IA sig)
LGALS9,Myeloid,Blood,↑93.7%,0.0159,★,24/25,↑1.4%,1.0,,10/20,↑96.4%,0.0317,★,19/20,IT-persistent
LGALS9,NK,Liver,↑61.6%,0.026,★,32/36,↓31.6%,0.0519,†,26/30,↑10.5%,0.7922,,17/30,IT-persistent
AIM2,Myeloid,Blood,↑1431.2%,0.0112,★,25/25,↑17.9%,0.5556,,13/20,↑1705.3%,0.0179,★,20/20,IT-persistent
MEFV,Myeloid,Blood,↑201.1%,0.0079,★,25/25,↓18.2%,0.9048,,11/20,↑146.2%,0.1905,,16/20,IT-persistent
DNMT1,Myeloid,Blood,↑163.8%,0.0079,★,25/25,↑6.0%,0.9048,,11/20,↑179.8%,0.0159,★,20/20,IT-persistent
DNMT1,Myeloid,Liver,↑125.2%,0.0022,★,36/36,↓33.5%,0.2468,,22/30,↑49.7%,0.329,,21/30,IT-persistent
DNMT1,NK,Blood,↑64.3%,0.0317,★,23/25,↑6.2%,0.7302,,12/20,↑74.5%,0.0317,★,19/20,IT-persistent
