gene,lineage,tissue,ia_mean,ar_mean,direction,pct,p,sig,consistency,who_wins
GNLY,CD8_T,Liver,0.1781,0.4001,+,124.6,0.0714,(t),14/15,AR(+)
GNLY,CD8_T,Blood,0.3716,1.5234,+,310.0,0.0571,(t),12/12,AR(+)
GNLY,PlasmaB,Liver,0.0059,0.2085,+,3439.1,0.0262,*,15/15,AR(+)
FOXP3,CD4_T,Liver,0.1374,0.0582,-,-57.6,0.0357,*,15/15,IA(+)
FOXP3,CD8_T,Blood,0.0086,0.0029,-,-65.7,0.0571,(t),12/12,IA(+)
LAYN,NK,Blood,0.0103,0.0002,-,-98.1,0.0497,*,12/12,IA(+)
TIGIT,Myeloid,Blood,0.0079,0.0001,-,-98.7,0.0497,*,12/12,IA(+)
DNMT1,PlasmaB,Liver,0.3166,0.118,-,-62.7,0.0357,*,15/15,IA(+)
TOX,NK,Blood,0.3311,0.2405,-,-27.4,0.0571,(t),12/12,IA(+)
GZMB,CD8_T,Liver,0.2831,0.6565,+,131.9,0.0357,*,15/15,AR(+)
GZMB,PlasmaB,Blood,1.2745,0.4188,-,-67.1,0.0571,(t),12/12,IA(+)
GZMK,CD4_T,Liver,1.2096,1.7265,+,42.7,0.0714,(t),14/15,AR(+)
GZMK,CD8_T,Liver,1.6306,2.2125,+,35.7,0.0357,*,15/15,AR(+)
LGALS9,B,Liver,0.2657,0.367,+,38.1,0.0714,(t),14/15,AR(+)
PRDM1,Myeloid,Blood,0.0508,0.018,-,-64.5,0.0571,(t),12/12,IA(+)
PRDM1,NK,Liver,0.2069,0.2845,+,37.6,0.0714,(t),14/15,AR(+)
PRDM1,PlasmaB,Blood,0.2926,0.6006,+,105.3,0.0571,(t),12/12,AR(+)
TYROBP,B,Liver,0.0321,0.0,-,-100.0,0.0325,*,15/15,IA(+)
TYROBP,PlasmaB,Blood,1.1159,0.3456,-,-69.0,0.0571,(t),12/12,IA(+)
FCER1G,CD8_T,Liver,0.0694,0.0174,-,-75.0,0.0714,(t),14/15,IA(+)
FCER1G,B,Liver,0.0308,0.0,-,-100.0,0.0325,*,15/15,IA(+)
FCER1G,PlasmaB,Blood,1.1479,0.412,-,-64.1,0.0571,(t),12/12,IA(+)
