Gene,Lineage,Tissue,NL->IT,NL->IA,NL->AR,IA vs AR
GNLY,CD8_T,Liver,+88.1% (p=0.937),+1.8% (p=0.931),*+128.7% (p=0.024),(t)+124.6% (p=0.071)
GNLY,CD8_T,Blood,+9.6% (p=0.691),-37.6% (p=0.556),*+155.8% (p=0.036),(t)+310.0% (p=0.057)
GNLY,NK,Blood,+14.6% (p=0.222),-6.2% (p=0.905),*+21.8% (p=0.036),+29.8% (p=0.114)
GNLY,PlasmaB,Liver,-100.0% (p=0.223),+222.0% (p=0.908),*+11297.2% (p=0.022),*+3439.1% (p=0.026)
FOXP3,CD4_T,Liver,(t)+153.7% (p=0.093),*+255.0% (p=0.004),+50.4% (p=0.548),*-57.6% (p=0.036)
FOXP3,CD8_T,Liver,*+1247.4% (p=0.045),+157.4% (p=0.407),+2.2% (p=0.897),-60.3% (p=0.571)
FOXP3,CD8_T,Blood,+358.8% (p=0.265),*+1053.4% (p=0.018),+295.3% (p=0.127),(t)-65.7% (p=0.057)
FOXP3,NK,Liver,+526.1% (p=0.104),*+1107.0% (p=0.044),+172.5% (p=0.878),-77.4% (p=0.359)
LAYN,Myeloid,Blood,*from_zero (p=0.025),*from_zero (p=0.042),*from_zero (p=0.017),+119.3% (p=0.857)
LAYN,CD4_T,Liver,*+430.5% (p=0.009),+258.8% (p=0.126),+55.7% (p=0.905),-56.6% (p=0.571)
LAYN,NK,Blood,-38.4% (p=0.833),+62.9% (p=0.902),-96.8% (p=0.341),*-98.1% (p=0.050)
LAYN,B,Liver,-0.0% (p=1.000),*from_zero (p=0.048),-0.0% (p=1.000),-100.0% (p=0.172)
TIGIT,Myeloid,Blood,from_zero (p=0.180),*from_zero (p=0.011),from_zero (p=0.302),*-98.7% (p=0.050)
TIGIT,CD4_T,Liver,*+123.8% (p=0.015),*+157.4% (p=0.009),(t)+131.5% (p=0.095),-10.0% (p=1.000)
TIGIT,CD8_T,Liver,*+151.5% (p=0.004),(t)+186.0% (p=0.082),*+198.1% (p=0.024),+4.2% (p=0.786)
TIGIT,B,Liver,+367.2% (p=0.169),*+1437.6% (p=0.029),+856.0% (p=0.220),-37.8% (p=0.453)
TIGIT,PlasmaB,Blood,(t)from_zero (p=0.072),from_zero (p=0.131),*from_zero (p=0.017),+23.2% (p=0.858)
DNMT1,Myeloid,Liver,*+125.2% (p=0.002),+49.7% (p=0.329),(t)+75.6% (p=0.095),+17.3% (p=1.000)
DNMT1,Myeloid,Blood,*+163.8% (p=0.008),*+179.8% (p=0.016),*+175.7% (p=0.036),-1.5% (p=0.857)
DNMT1,CD4_T,Blood,(t)+42.0% (p=0.056),+41.8% (p=0.111),*+45.4% (p=0.036),+2.6% (p=1.000)
DNMT1,CD8_T,Blood,(t)+35.5% (p=0.056),+29.4% (p=0.413),*+37.2% (p=0.036),+6.1% (p=1.000)
DNMT1,NK,Blood,*+64.3% (p=0.032),*+74.5% (p=0.032),*+67.1% (p=0.036),-4.2% (p=0.857)
DNMT1,PlasmaB,Liver,(t)+161.5% (p=0.082),*+237.0% (p=0.009),+25.6% (p=0.548),*-62.7% (p=0.036)
CTLA4,CD4_T,Liver,*+171.1% (p=0.004),*+163.1% (p=0.030),(t)+133.8% (p=0.095),-11.1% (p=0.786)
CTLA4,CD8_T,Liver,(t)+257.7% (p=0.065),*+583.8% (p=0.017),*+470.7% (p=0.024),-16.5% (p=1.000)
CTLA4,CD8_T,Blood,*-71.5% (p=0.008),+43.3% (p=0.286),-57.2% (p=0.393),-70.1% (p=0.400)
CTLA4,NK,Liver,+178.4% (p=0.295),*+391.7% (p=0.035),(t)+178.8% (p=0.092),-43.3% (p=0.786)
CTLA4,B,Liver,-0.0% (p=1.000),*from_zero (p=0.048),-0.0% (p=1.000),-100.0% (p=0.172)
TOX,Myeloid,Liver,*+1856.8% (p=0.004),-24.6% (p=0.908),+299.1% (p=0.203),+429.3% (p=0.172)
TOX,CD4_T,Liver,*+100.7% (p=0.009),+70.2% (p=0.126),*+67.0% (p=0.024),-1.9% (p=0.571)
TOX,CD8_T,Liver,*+86.6% (p=0.002),+94.2% (p=0.126),*+85.9% (p=0.024),-4.3% (p=0.571)
TOX,B,Liver,+94.5% (p=0.311),*+244.1% (p=0.035),+160.7% (p=0.154),-24.2% (p=0.786)
GZMB,CD8_T,Liver,+4.6% (p=0.699),-40.7% (p=0.126),+37.5% (p=0.262),*+131.9% (p=0.036)
GZMB,PlasmaB,Liver,*+297.7% (p=0.009),(t)+232.3% (p=0.052),*+265.2% (p=0.048),+9.9% (p=0.786)
PRF1,Myeloid,Liver,*from_zero (p=0.010),from_zero (p=0.361),-0.0% (p=1.000),-100.0% (p=0.606)
PRF1,CD4_T,Liver,(t)-18.9% (p=0.093),*-39.0% (p=0.030),-26.8% (p=0.167),+19.9% (p=0.571)
GZMK,Myeloid,Liver,+248.3% (p=0.295),-94.3% (p=0.245),+28.9% (p=0.787),+2175.8% (p=0.305)
GZMK,CD4_T,Liver,(t)+23.3% (p=0.093),-0.1% (p=0.792),*+42.7% (p=0.024),(t)+42.7% (p=0.071)
GZMK,CD8_T,Liver,(t)+28.7% (p=0.065),-0.5% (p=1.000),*+35.0% (p=0.024),*+35.7% (p=0.036)
GZMK,NK,Liver,+8.4% (p=0.818),+16.0% (p=0.429),*+48.9% (p=0.024),+28.4% (p=0.393)
GZMK,NK,Blood,+55.5% (p=0.841),*+306.4% (p=0.016),+61.0% (p=0.143),-60.4% (p=0.400)
DNMT3A,Myeloid,Blood,*+348.3% (p=0.012),*+306.2% (p=0.019),*+309.0% (p=0.036),+0.7% (p=0.857)
