Gene,Lineage,Tissue,NL->IT_change,NL->IT_p,NL->IT_sig,NL->IT_cons,NL->IA_change,NL->IA_p,NL->IA_sig,NL->IA_cons,NL->AR_change,NL->AR_p,NL->AR_sig,NL->AR_cons,IA->AR_change,IA->AR_p,IA->AR_sig,IA->AR_cons,IT->IA_change,IT->IA_p,IT->IA_sig,IT->IA_cons
GNLY,CD8_T,Liver,88.10%,0.9372,,19/36,1.80%,0.9307,,16/30,128.70%,0.0238,*,18/18,124.60%,0.0714,(t),14/15,-45.90%,0.5368,,19/30
GNLY,CD8_T,Blood,9.60%,0.6905,,15/25,-37.60%,0.5556,,13/20,155.80%,0.0357,*,15/15,310.00%,0.0571,(t),12-12,-43.10%,0.1905,,16/20
GNLY,NK,Blood,14.60%,0.2222,,19/25,-6.20%,0.9048,,20-9,21.80%,0.0357,*,15/15,29.80%,0.1143,,12-11,-18.10%,0.4127,,14/20
GNLY,PlasmaB,Liver,-100.00%,0.223,,30-10,222.00%,0.9076,,30-6,11297.20%,0.0219,*,18/18,3439.10%,0.0262,*,15/15,from_zero,0.4237,,25-5
FOXP3,CD4_T,Liver,153.70%,0.0931,(t),29/36,255.00%,0.0043,*,30/30,50.40%,0.5476,,18-12,-57.60%,0.0357,*,15/15,40.00%,0.6623,,18/30
FOXP3,CD8_T,Liver,1247.40%,0.045,*,31/36,157.40%,0.407,,19/30,2.20%,0.8969,,18-8,-60.30%,0.5714,,15-10,-80.90%,0.329,,21/30
FOXP3,CD8_T,Blood,358.80%,0.2652,,15/25,1053.40%,0.0179,*,20/20,295.30%,0.1266,,13/15,-65.70%,0.0571,(t),12-12,151.40%,0.1099,,17/20
FOXP3,NK,Liver,526.10%,0.1044,,24/36,1107.00%,0.0444,*,24/30,172.50%,0.8781,,18-6,-77.40%,0.3594,,15-10,92.80%,0.519,,18/30
LAYN,Myeloid,Blood,from_zero,0.0254,*,20/25,from_zero,0.0416,*,15/20,from_zero,0.0168,*,15/15,119.30%,0.8571,,12-7,13.40%,0.8057,,20-11
LAYN,CD4_T,Liver,430.50%,0.0087,*,34/36,258.80%,0.1255,,24/30,55.70%,0.9048,,18-10,-56.60%,0.5714,,15-10,-32.40%,1,,15/30
LAYN,NK,Blood,-38.40%,0.8325,,13/25,62.90%,0.9021,,20-11,-96.80%,0.3406,,15-9,-98.10%,0.0497,*,12-12,164.40%,0.2857,,15/20
LAYN,B,Liver,0.00%,1,,0/30,from_zero,0.0484,*,18/30,0.00%,1,,0/18,-100.00%,0.1719,,15-9,from_zero,0.072,(t),15/25
TIGIT,Myeloid,Blood,from_zero,0.1797,,25-10,from_zero,0.0108,*,20/20,from_zero,0.3017,,15-5,-98.70%,0.0497,*,12-12,369.00%,0.1706,,16/20
TIGIT,CD4_T,Liver,123.80%,0.0152,*,33/36,157.40%,0.0087,*,29/30,131.50%,0.0952,(t),16/18,-10.00%,1,,15-8,15.00%,0.5368,,19/30
TIGIT,CD8_T,Liver,151.50%,0.0043,*,35/36,186.00%,0.0823,(t),25/30,198.10%,0.0238,*,18/18,4.20%,0.7857,,15-6,13.70%,0.4286,,20/30
TIGIT,B,Liver,367.20%,0.1693,,17/30,1437.60%,0.0285,*,24/30,856.00%,0.2198,,18-11,-37.80%,0.4534,,15-10,229.10%,0.2045,,18/25
TIGIT,PlasmaB,Blood,from_zero,0.072,(t),15/25,from_zero,0.1312,,20-10,from_zero,0.0168,*,15/15,23.20%,0.8584,,12-7,32.30%,1,,20-8
DNMT1,Myeloid,Liver,125.20%,0.0022,*,36/36,49.70%,0.329,,21/30,75.60%,0.0952,(t),16/18,17.30%,1,,15-7,-33.50%,0.2468,,22/30
DNMT1,Myeloid,Blood,163.80%,0.0079,*,25/25,179.80%,0.0159,*,20/20,175.70%,0.0357,*,15/15,-1.50%,0.8571,,12-5,6.00%,0.9048,,20-11
